ticker,ym,month_end,revenue
2059,2026-09,2026-09-01,6466169000
2059,2026-08,2026-08-01,6407256000
2059,2026-07,2026-07-01,4442581000
2059,2026-06,2026-06-01,3791303000
2059,2026-05,2026-05-01,2595892000
2059,2026-04,2026-04-01,1918166000
2059,2026-03,2026-03-01,1756868000
2059,2026-02,2026-02-01,1774956000
2059,2026-01,2026-01-01,1722455000
2059,2025-12,2025-12-01,1659348000
2059,2025-11,2025-11-01,1567264000
2059,2025-10,2025-10-01,1507097000
2059,2025-09,2025-09-01,1454984000
2059,2025-08,2025-08-01,1406573000
2059,2025-07,2025-07-01,1386041000
2059,2025-06,2025-06-01,1393592000
2059,2025-05,2025-05-01,1449099000
2059,2025-04,2025-04-01,1381226000
2059,2025-03,2025-03-01,1339536000
2059,2025-02,2025-02-01,1233439000
2059,2025-01,2025-01-01,1122385000
2059,2024-12,2024-12-01,1013472000
2059,2024-11,2024-11-01,962289000
2059,2024-10,2024-10-01,821999000
2059,2024-09,2024-09-01,868862000
2059,2024-08,2024-08-01,885818000
2059,2024-07,2024-07-01,853539000
2059,2024-06,2024-06-01,868403000
2059,2024-05,2024-05-01,794727000
2059,2024-04,2024-04-01,776192000
2059,2024-03,2024-03-01,506067000
2059,2024-02,2024-02-01,655548000
2059,2024-01,2024-01-01,639013000
2059,2023-12,2023-12-01,610458000
2059,2023-11,2023-11-01,615320000
2059,2023-10,2023-10-01,506831000
2303,2026-09,2026-09-01,25044641000
2303,2026-08,2026-08-01,23844045000
2303,2026-07,2026-07-01,23124962000
2303,2026-06,2026-06-01,22943755000
2303,2026-05,2026-05-01,22663945000
2303,2026-04,2026-04-01,20830626000
2303,2026-03,2026-03-01,19345126000
2303,2026-02,2026-02-01,20862150000
2303,2026-01,2026-01-01,19280724000
2303,2025-12,2025-12-01,21233847000
2303,2025-11,2025-11-01,21294974000
2303,2025-10,2025-10-01,19927175000
2303,2025-09,2025-09-01,19159816000
2303,2025-08,2025-08-01,20040049000
2303,2025-07,2025-07-01,18823070000
2303,2025-06,2025-06-01,19480057000
2303,2025-05,2025-05-01,20454530000
2303,2025-04,2025-04-01,19858647000
2303,2025-03,2025-03-01,18193515000
2303,2025-02,2025-02-01,19806795000
2303,2025-01,2025-01-01,18965818000
2303,2024-12,2024-12-01,20049182000
2303,2024-11,2024-11-01,21371110000
2303,2024-10,2024-10-01,18942714000
2303,2024-09,2024-09-01,20645494000
2303,2024-08,2024-08-01,20896877000
2303,2024-07,2024-07-01,17548413000
2303,2024-06,2024-06-01,19509486000
2303,2024-05,2024-05-01,19741391000
2303,2024-04,2024-04-01,18167134000
2303,2024-03,2024-03-01,17451268000
2303,2024-02,2024-02-01,19013697000
2303,2024-01,2024-01-01,16979226000
2303,2023-12,2023-12-01,18787670000
2303,2023-11,2023-11-01,19191382000
2303,2023-10,2023-10-01,19052938000
2330,2026-08,2026-08-01,467580548000
2330,2026-07,2026-07-01,442679969000
2330,2026-06,2026-06-01,416975163000
2330,2026-05,2026-05-01,410725118000
2330,2026-04,2026-04-01,415191699000
2330,2026-03,2026-03-01,317656613000
2330,2026-02,2026-02-01,401255128000
2330,2026-01,2026-01-01,335003568000
2330,2025-12,2025-12-01,343613802000
2330,2025-11,2025-11-01,367473051000
2330,2025-10,2025-10-01,330980920000
2330,2025-09,2025-09-01,335771691000
2330,2025-08,2025-08-01,323165707000
2330,2025-07,2025-07-01,263708978000
2330,2025-06,2025-06-01,320515951000
2330,2025-05,2025-05-01,349566940000
2330,2025-04,2025-04-01,285956830000
2330,2025-03,2025-03-01,260008796000
2330,2025-02,2025-02-01,293288038000
