ticker,ex_date,cash_dividend,stock_ratio
2330,2026-09-16,7.00000137,0.0
2330,2021-12-16,2.75,0.0
2330,2021-09-16,2.75,0.0
2330,2021-06-17,2.5,0.0
2330,2021-03-17,2.5,0.0
2330,2020-12-17,2.5,0.0
2330,2020-09-17,2.5,0.0
2330,2022-03-16,2.75,0.0
2330,2020-06-18,2.5,0.0
2330,2019-12-19,2.5,0.0
2330,2019-09-19,2.0,0.0
2330,2019-06-24,8.0,0.0
2330,2018-06-25,8.0,0.0
2330,2017-06-26,7.0,0.0
2330,2016-06-27,6.0,0.0
2330,2020-03-19,2.5,0.0
2330,2022-06-16,2.75,0.0
2330,2015-06-29,4.49987539,0.0
2330,2022-12-15,2.75,0.0
2330,2022-09-15,2.75,0.0
2330,2026-06-11,6.00003573,0.0
2330,2026-03-17,6.00003573,0.0
2330,2025-12-11,5.00001118,0.0
2330,2025-09-16,5.00001754,0.0
2330,2025-06-12,4.50002042,0.0
2330,2024-12-12,3.99963706,0.0
2330,2025-03-18,4.50002042,0.0
2330,2024-06-13,3.49978969,0.0
2330,2024-03-18,3.49978969,0.0
2330,2023-12-14,3.0,0.0
2330,2023-09-14,3.0,0.0
2330,2023-06-15,2.74982072,0.0
2330,2023-03-16,2.74982072,0.0
2330,2024-09-12,4.0001382,0.0
2408,2018-06-28,3.508727,0.0
2408,2015-07-09,1.9984,0.0
2408,2017-06-20,1.5,0.0
2408,2019-07-04,7.1104997,0.0
2408,2016-07-21,2.8,0.0
2408,2021-08-05,1.29660236,0.0
2408,2022-06-30,3.70281307,0.0
2408,2023-06-28,2.13036346,0.0
2408,2026-07-07,1.34714912,0.0
2408,2020-07-02,1.49728963,0.0
3037,2017-08-08,0.2985,0.0
3037,2018-07-30,0.49822031,0.0
3037,2019-07-29,0.80005385,0.0
3037,2020-07-15,1.09186073,0.0
3037,2021-08-27,1.39293356,0.0
3037,2022-07-15,3.4,0.0
3037,2023-07-13,7.99298687,0.0
3037,2024-07-11,3.00000196,0.0
3037,2025-07-10,1.50004559,0.0
3037,2026-07-06,1.98015311,0.0
3037,2015-07-28,0.50497154,0.0
3037,2016-07-28,0.30242515999999997,0.0
5289,2015-08-18,4.5,0.05
5289,2018-08-30,5.60914377,0.029521806
5289,2019-08-22,6.0,0.02
5289,2020-08-21,7.5,0.02
5289,2021-08-05,6.69560253,0.0
5289,2022-07-29,11.5240749,0.029548907000000003
5289,2023-08-21,13.78192729,0.0199738
5289,2024-07-15,10.2,0.02
5289,2025-08-28,9.37723774,0.01995157
5289,2026-08-27,16.83491506,0.019922972
5289,2016-08-25,4.46615222,0.049623913
5289,2017-08-30,3.88234268,0.048529283
