ticker,price,price_date,as_of
2059,12295.0,2026-09-17,2026-09-17
2303,147.5,2026-09-17,2026-09-17
2327,529.0,2026-09-17,2026-09-17
2330,2425.0,2026-09-17,2026-09-17
2344,170.0,2026-09-17,2026-09-17
2376,355.0,2026-09-17,2026-09-17
2408,488.0,2026-09-17,2026-09-17
2409,30.5,2026-09-09,2026-09-09
2454,4500.0,2026-09-17,2026-09-17
2455,534.0,2026-09-17,2026-09-17
2465,89.2,2026-09-17,2026-09-17
3034,545.0,2026-09-17,2026-09-17
3081,2720.0,2026-09-17,2026-09-17
3105,471.0,2026-09-17,2026-09-17
3163,652.0,2026-09-17,2026-09-17
3189,805.0,2026-09-17,2026-09-17
3324,1385.0,2026-09-10,2026-09-10
3363,655.0,2026-09-17,2026-09-17
3450,525.0,2026-09-17,2026-09-17
3665,2010.0,2026-09-17,2026-09-17
3711,640.0,2026-09-10,2026-09-10
4938,90.4,2026-09-17,2026-09-17
4979,556.0,2026-09-17,2026-09-17
5289,1260.0,2026-09-17,2026-09-17
5434,530.0,2026-09-17,2026-09-17
6442,1510.0,2026-09-17,2026-09-17
6830,512.0,2026-09-17,2026-09-17
8299,1970.0,2026-09-17,2026-09-17
