ticker,company,sector,tier,added,note,tags
2330,台積電,半導體業,核心,2026-08-30,,
2408,南亞科,半導體業,觀察,2026-08-30,週期性強，虧損季會讓 PEG 顯示 N/M,DRAM
5289,宜鼎,電腦及週邊設備業,觀察,2026-08-30,,
2455,全新,通信網路業,池子,2026-09-02,,CPO
3034,聯詠,半導體業,池子,2026-09-02,,
3665,貿聯-KY,其他電子業,池子,2026-09-07,,
5434,崇越,電子通路業,池子,2026-09-07,,
2376,技嘉,電子工業,池子,2026-09-07,,
2059,川湖,電子工業,池子,2026-09-09,,
3081,聯亞,通信網路業,池子,2026-09-09,,
3163,波若威,通信網路業,基本面not good,2026-09-09,基本面普普,
3189,景碩,半導體業,池子,2026-09-09,,
6442,光聖,電子工業,池子,2026-09-09,,
2303,聯電,半導體業,池子,2026-09-09,,
